customer_id,interaction_date,channel_interaction
3253708,6/3/2022,web
3253708,5/8/2022,web
3253708,11/24/2022,web
3253708,7/21/2022,Mobile
3326561,1/24/2022,email
3326561,2/26/2022,Mobile
3326561,2/28/2022,web
3326561,9/3/2022,email
3326561,9/18/2022,Mobile
3326561,10/8/2022,Mobile
3326561,10/12/2022,email
3326561,11/4/2022,web
3326561,11/12/2022,email
3326561,11/13/2022,email
3465563,2/10/2022,Mobile
3465563,3/12/2022,web
3465563,3/21/2022,web
3465563,7/12/2022,web
3465563,7/12/2022,email
3465563,7/25/2022,web
3481693,1/21/2022,Mobile
3481693,2/5/2022,Mobile
3481693,2/7/2022,Mobile
3481693,2/11/2022,web
3481693,3/21/2022,Mobile
3481693,5/24/2022,email
3481693,6/12/2022,web
3481693,6/20/2022,Mobile
3481693,7/10/2022,Mobile
3481693,12/4/2022,web
4338669,1/12/2022,web
4338669,1/24/2022,email
4338669,1/25/2022,web
4338669,2/15/2022,Mobile
4338669,2/26/2022,email
4338669,3/7/2022,Mobile
4338669,3/9/2022,web
4338669,3/11/2022,Mobile
4338669,3/11/2022,Mobile
4338669,3/15/2022,email
4338669,4/5/2022,email
4338669,4/5/2022,web
4338669,11/30/2022,email
4894269,2/14/2022,Mobile
4894269,3/24/2022,web
4894269,3/24/2022,Mobile
4894269,3/31/2022,Mobile
4894269,4/10/2022,email
4894269,5/25/2022,email
4894269,6/8/2022,Mobile
4894269,10/13/2022,Mobile
4894269,11/1/2022,Mobile
4991801,1/8/2022,web
4991801,1/29/2022,email
4991801,2/20/2022,web
4991801,2/23/2022,Mobile
4991801,3/17/2022,web
4991801,3/26/2022,Mobile
4991801,4/9/2022,email
4991801,5/5/2022,email
4991801,5/19/2022,Mobile
4991801,5/23/2022,email
4991801,12/12/2022,web
5284709,1/8/2022,email
5284709,1/10/2022,Mobile
5284709,1/14/2022,Mobile
5284709,2/3/2022,web
5284709,3/5/2022,email
5284709,4/4/2022,web
5284709,4/23/2022,email
5284709,5/30/2022,email
5284709,12/14/2022,web
5474256,1/15/2022,web
5474256,1/18/2022,email
5474256,2/11/2022,Mobile
5474256,2/13/2022,web
5474256,2/21/2022,email
5474256,2/26/2022,email
5474256,4/6/2022,email
5474256,4/21/2022,email
5474256,4/25/2022,Mobile
5474256,12/11/2022,web
5762331,1/5/2022,email
5762331,1/22/2022,Mobile
5762331,2/2/2022,email
5762331,3/17/2022,email
5762331,3/23/2022,Mobile
5762331,4/16/2022,Mobile
5762331,6/3/2022,web
5762331,8/18/2022,web
5762331,12/6/2022,Mobile
5899048,1/16/2022,web
5899048,2/13/2022,web
5899048,2/14/2022,web
5899048,3/2/2022,Mobile
5899048,3/16/2022,Mobile
5899048,3/16/2022,email
5899048,3/26/2022,web
5899048,4/29/2022,Mobile
5899048,5/1/2022,Mobile
5899048,5/2/2022,web
5899048,12/1/2022,email
6074796,1/5/2022,email
6074796,1/30/2022,web
6074796,2/15/2022,email
6074796,2/17/2022,email
6074796,3/16/2022,email
6074796,3/28/2022,web
6074796,6/10/2022,email
6074796,6/14/2022,web
6074796,7/22/2022,Mobile
6074796,8/7/2022,email
6074796,8/7/2022,email
6074796,12/6/2022,web
6238003,1/14/2022,web
6238003,1/27/2022,web
6238003,1/28/2022,web
6238003,2/10/2022,Mobile
6238003,2/12/2022,web
6238003,2/15/2022,web
6238003,4/17/2022,web
6238003,4/30/2022,web
6238003,5/6/2022,email
6238003,5/12/2022,email
6238003,5/19/2022,email
6238003,5/27/2022,Mobile
6238003,6/24/2022,web
6238003,12/13/2022,email
6265486,1/21/2022,web
6265486,2/5/2022,Mobile
6265486,2/5/2022,email
6265486,2/17/2022,Mobile
6265486,2/24/2022,web
6265486,3/14/2022,web
6265486,3/28/2022,web
6265486,4/1/2022,Mobile
6265486,4/6/2022,Mobile
6265486,4/22/2022,Mobile
6265486,11/22/2022,web
6566652,1/24/2022,web
6566652,1/28/2022,web
6566652,2/16/2022,web
6566652,3/26/2022,email
6566652,3/28/2022,web
6566652,6/9/2022,web
6566652,6/19/2022,email
6566652,6/22/2022,web
6566652,11/27/2022,email
7178457,3/5/2022,Mobile
7178457,3/19/2022,Mobile
7178457,3/26/2022,web
7178457,4/18/2022,Mobile
7178457,4/30/2022,email
7178457,5/17/2022,Mobile
7178457,6/30/2022,web
7178457,7/8/2022,Mobile
7178457,7/18/2022,email
7178457,12/11/2022,Mobile
7214232,2/15/2022,web
7214232,3/3/2022,web
7214232,3/20/2022,email
7214232,3/26/2022,email
7214232,4/16/2022,web
7214232,5/24/2022,Mobile
7214232,5/28/2022,Mobile
7214232,5/30/2022,web
7214232,5/31/2022,email
7214232,6/18/2022,web
7214232,7/4/2022,web
7214232,12/11/2022,web
7388971,1/15/2022,email
7388971,1/17/2022,web
7388971,2/15/2022,email
7388971,3/25/2022,email
7388971,3/31/2022,Mobile
7388971,4/10/2022,web
7388971,5/8/2022,Mobile
7388971,11/17/2022,Mobile
7514837,1/21/2022,web
7514837,2/10/2022,email
7514837,2/25/2022,email
7514837,2/28/2022,Mobile
7514837,3/14/2022,web
7514837,3/31/2022,email
7514837,4/4/2022,web
7514837,4/13/2022,web
7514837,4/23/2022,email
7514837,4/25/2022,web
7514837,12/6/2022,Mobile
7886973,8/28/2022,Mobile
7886973,9/30/2022,email
7886973,7/9/2022,Mobile
7886973,2/4/2022,Mobile
7886973,7/19/2022,Mobile
7886973,3/24/2022,Mobile
8077822,1/2/2022,email
8077822,1/7/2022,Mobile
8077822,2/9/2022,web
8077822,2/23/2022,web
8077822,2/25/2022,email
8077822,3/25/2022,web
8077822,4/1/2022,Mobile
8077822,4/30/2022,email
8077822,11/25/2022,email
8148470,1/18/2022,Mobile
8148470,3/12/2022,email
8148470,3/12/2022,email
8148470,3/17/2022,email
8148470,3/19/2022,Mobile
8148470,3/31/2022,Mobile
8148470,4/17/2022,web
8148470,7/9/2022,email
8148470,8/19/2022,email
8148470,12/1/2022,email
8278687,1/4/2022,email
8278687,1/12/2022,Mobile
8278687,1/25/2022,Mobile
8278687,2/12/2022,Mobile
8278687,3/2/2022,Mobile
8278687,4/24/2022,Mobile
8278687,12/4/2022,email
8331918,1/12/2022,web
8331918,1/23/2022,Mobile
8331918,1/23/2022,web
8331918,2/2/2022,web
8331918,2/20/2022,Mobile
8331918,2/28/2022,web
8331918,3/5/2022,Mobile
8331918,3/17/2022,Mobile
8331918,3/19/2022,web
8331918,4/17/2022,email
8331918,5/16/2022,email
8331918,5/31/2022,web
8331918,12/15/2022,Mobile
8423932,1/2/2022,Mobile
8423932,1/4/2022,email
8423932,1/9/2022,web
8423932,2/7/2022,email
8423932,3/3/2022,email
8423932,3/5/2022,web
8423932,3/10/2022,email
8423932,3/29/2022,email
8423932,4/13/2022,web
8423932,12/9/2022,web
8538308,1/11/2022,email
8538308,1/13/2022,web
8538308,1/14/2022,web
8538308,1/14/2022,web
8538308,1/17/2022,Mobile
8538308,1/17/2022,Mobile
8538308,3/10/2022,Mobile
8538308,3/15/2022,email
8538308,3/15/2022,email
8538308,3/17/2022,email
8538308,3/27/2022,email
8538308,11/30/2022,Mobile
8596314,2/21/2022,web
8596314,3/18/2022,web
8596314,3/18/2022,web
8596314,3/22/2022,Mobile
8596314,3/27/2022,email
8596314,5/3/2022,web
8596314,5/31/2022,web
8596314,6/18/2022,Mobile
8596314,12/14/2022,Mobile
10474133,8/16/2022,email
10474133,2/21/2022,email
10474133,8/1/2022,web
10474133,10/26/2022,web
10474133,4/29/2022,email
10474133,9/4/2022,Mobile
11568737,11/2/2022,Mobile
11568737,7/26/2022,email
11568737,4/27/2022,Mobile
11568737,9/4/2022,web
11591673,5/21/2022,Mobile
11591673,9/25/2022,email
11591673,12/1/2022,email
11591673,4/4/2022,Mobile
11591673,10/26/2022,email
11591673,1/19/2022,web
12310020,6/6/2022,email
12310020,1/24/2022,Mobile
12310020,11/20/2022,Mobile
12310020,1/17/2022,Mobile
12310020,7/7/2022,web
12310020,11/10/2022,web
12723236,7/28/2022,web
12723236,3/25/2022,email
12723236,3/27/2022,Mobile
12723236,2/5/2022,Mobile
12723236,9/4/2022,email
12723236,11/17/2022,web
13152146,3/4/2022,Mobile
13152146,3/10/2022,web
13152146,4/4/2022,web
13152146,5/23/2022,email
13152146,7/8/2022,Mobile
13152146,9/29/2022,web
13870279,3/20/2022,Mobile
13870279,2/23/2022,Mobile
13870279,11/12/2022,email
13870279,7/20/2022,email
13870279,1/16/2022,web
13870279,11/18/2022,web
20064707,3/11/2022,web
20064707,7/31/2022,Mobile
20064707,4/15/2022,email
20064707,2/3/2022,web
20064707,7/8/2022,Mobile
20064707,1/20/2022,email
20424848,10/3/2022,web
20424848,6/17/2022,web
20424848,2/6/2022,Mobile
20424848,11/11/2022,email
20424848,7/4/2022,email
20424848,4/11/2022,email
21704536,5/30/2022,Mobile
21704536,9/30/2022,email
21704536,10/8/2022,web
21704536,1/29/2022,web
21704536,1/29/2022,email
21704536,6/7/2022,Mobile
24600331,11/30/2022,email
24600331,3/11/2022,Mobile
24600331,6/1/2022,Mobile
24600331,2/27/2022,Mobile
26713953,8/28/2022,email
26713953,5/9/2022,email
26713953,2/2/2022,email
26713953,1/18/2022,email
26713953,7/15/2022,Mobile
26713953,10/22/2022,Mobile
28707389,5/2/2022,email
28707389,3/22/2022,email
28707389,6/4/2022,web
28707389,11/16/2022,web
28707389,7/16/2022,Mobile
28707389,7/2/2022,Mobile
29117696,5/5/2022,email
29117696,12/8/2022,email
29117696,3/17/2022,web
29117696,9/18/2022,web
29117696,7/9/2022,Mobile
29117696,10/30/2022,email
29258170,12/3/2022,Mobile
29258170,5/3/2022,email
29258170,8/27/2022,web
29258170,11/4/2022,email
29258170,7/30/2022,web
29258170,10/31/2022,email
29997714,1/31/2022,web
29997714,6/7/2022,email
29997714,7/25/2022,Mobile
29997714,9/7/2022,Mobile
29997714,1/27/2022,web
29997714,3/23/2022,web
30681688,11/26/2022,web
30681688,6/27/2022,web
30681688,1/11/2022,Mobile
30681688,2/23/2022,email
30681688,7/25/2022,web
30681688,9/15/2022,web
31181474,1/23/2022,web
31181474,1/31/2022,email
31181474,2/22/2022,email
31181474,3/17/2022,email
31181474,9/28/2022,email
31181474,5/7/2022,Mobile
31535346,1/13/2022,web
31535346,9/5/2022,Mobile
31535346,8/22/2022,web
31535346,9/4/2022,web
31535346,12/5/2022,Mobile
31535346,9/5/2022,Mobile
33368405,3/5/2022,web
33368405,8/11/2022,Mobile
33368405,7/5/2022,email
33368405,8/15/2022,email
33368405,1/20/2022,email
33368405,11/7/2022,web
35356999,1/27/2022,web
35356999,9/15/2022,email
35356999,1/24/2022,web
35356999,10/26/2022,email
35356999,6/21/2022,Mobile
35356999,5/12/2022,email
35645966,3/16/2022,Mobile
35645966,1/22/2022,Mobile
35645966,5/1/2022,email
35645966,11/2/2022,Mobile
35645966,5/30/2022,Mobile
35645966,3/18/2022,Mobile
36895125,10/24/2022,Mobile
36895125,11/24/2022,Mobile
36895125,4/10/2022,Mobile
36895125,10/12/2022,web
36895125,7/13/2022,web
36895125,10/7/2022,email
37312907,11/12/2022,email
37312907,3/9/2022,email
37312907,7/2/2022,web
37312907,10/12/2022,Mobile
37312907,2/19/2022,Mobile
37312907,2/3/2022,Mobile
38070089,10/9/2022,email
38070089,10/10/2022,Mobile
38070089,8/21/2022,web
38070089,3/29/2022,web
38070089,4/17/2022,Mobile
38070089,5/23/2022,web
38504649,2/19/2022,web
38504649,5/23/2022,Mobile
38504649,4/10/2022,Mobile
38504649,9/4/2022,web
38504649,11/19/2022,email
38504649,1/3/2022,web
38734360,3/20/2022,Mobile
38734360,5/16/2022,email
38734360,10/19/2022,email
38734360,5/4/2022,Mobile
38734360,6/2/2022,Mobile
38734360,2/25/2022,Mobile
38875363,10/21/2022,email
38875363,6/28/2022,email
38875363,11/2/2022,web
38875363,4/28/2022,email
38875363,6/5/2022,email
38875363,12/3/2022,Mobile
39278176,8/5/2022,web
39278176,11/8/2022,web
